binary,graph,node_num,threads_num,times,triang_num
./triangleCount_openMP,belgium_osm.mtx,1441295,1,0.142529,2420
./triangleCount_openMP,belgium_osm.mtx,1441295,2,0.082101,2420
./triangleCount_openMP,belgium_osm.mtx,1441295,5,0.052035,2420
./triangleCount_openMP,belgium_osm.mtx,1441295,8,0.045168,2420
./triangleCount_openMP,belgium_osm.mtx,1441295,10,0.047584,2420
./triangleCount_openMP,belgium_osm.mtx,1441295,20,0.034756,2420
./triangleCount_openMP,com-Youtube.mtx,1134890,1,1.699163,3056386
./triangleCount_openMP,com-Youtube.mtx,1134890,2,1.623444,3056386
./triangleCount_openMP,com-Youtube.mtx,1134890,5,1.555637,3056386
./triangleCount_openMP,com-Youtube.mtx,1134890,8,1.536062,3056386
./triangleCount_openMP,com-Youtube.mtx,1134890,10,1.525213,3056386
./triangleCount_openMP,com-Youtube.mtx,1134890,20,1.404844,3056386
./triangleCount_openMP,mycielskian13.mtx,6143,1,0.321417,0
./triangleCount_openMP,mycielskian13.mtx,6143,2,0.321912,0
./triangleCount_openMP,mycielskian13.mtx,6143,5,0.288320,0
./triangleCount_openMP,mycielskian13.mtx,6143,8,0.280567,0
./triangleCount_openMP,mycielskian13.mtx,6143,10,0.236426,0
./triangleCount_openMP,mycielskian13.mtx,6143,20,0.196439,0
./triangleCount_openMP,dblp-2010.mtx,326186,1,0.098762,1676652
./triangleCount_openMP,dblp-2010.mtx,326186,2,0.089583,1676652
./triangleCount_openMP,dblp-2010.mtx,326186,5,0.132164,1676652
./triangleCount_openMP,dblp-2010.mtx,326186,8,0.179480,1676652
./triangleCount_openMP,dblp-2010.mtx,326186,10,0.180872,1676652
./triangleCount_openMP,dblp-2010.mtx,326186,20,0.187904,1676652
./triangleCount_openMP,NACA0015.mtx,1039183,1,0.388111,2075635
./triangleCount_openMP,NACA0015.mtx,1039183,2,0.310576,2075635
./triangleCount_openMP,NACA0015.mtx,1039183,5,0.263250,2075635
./triangleCount_openMP,NACA0015.mtx,1039183,8,0.280690,2075635
./triangleCount_openMP,NACA0015.mtx,1039183,10,0.289527,2075635
./triangleCount_openMP,NACA0015.mtx,1039183,20,0.312546,2075635
